s,a,r,sp
83,3,0,93
93,2,0,94
94,1,0,84
84,3,0,94
94,2,0,95
95,3,0,95
95,1,0,85
85,4,0,84
84,1,0,74
74,4,0,73
73,5,0,73
73,5,0,73
73,3,0,83
83,4,0,82
82,1,0,72
72,3,0,82
82,2,0,83
83,3,0,93
93,1,0,83
83,3,0,93
93,4,0,92
92,2,0,93
93,2,0,94
94,4,0,93
93,2,0,94
94,5,0,94
94,4,0,93
93,3,0,93
93,4,0,92
92,3,0,92
92,3,0,92
92,4,0,91
91,5,0,91
91,2,0,92
92,5,0,92
92,3,0,92
92,3,0,92
92,5,0,92
92,4,0,91
91,2,0,92
92,3,0,92
92,4,0,91
91,4,0,91
91,3,0,91
91,5,0,91
91,2,0,92
92,4,0,91
91,2,0,92
92,1,0,82
82,5,0,82
82,5,0,82
82,1,0,72
72,4,0,71
71,4,0,71
71,3,0,81
81,2,0,82
82,4,0,81
81,2,0,82
82,1,0,72
72,3,0,82
82,2,0,83
83,2,0,84
84,4,0,83
83,1,0,73
73,3,0,83
83,2,0,84
84,4,0,83
83,5,0,83
83,1,0,73
73,4,0,72
72,2,0,73
73,4,0,72
72,5,0,72
72,1,0,62
62,1,0,52
52,5,0,52
52,4,0,51
51,2,0,52
52,4,0,51
51,2,0,52
52,5,0,52
52,3,0,62
62,5,0,62
62,1,0,52
52,2,0,53
53,2,0,54
54,3,0,64
64,4,0,63
63,3,0,73
73,5,0,73
73,5,0,73
73,4,0,72
72,1,0,62
62,4,0,61
61,5,0,61
61,2,0,62
62,3,0,72
72,1,0,62
62,4,0,61
61,5,0,61
61,1,0,51
51,5,0,51
51,5,0,51
51,5,0,51
51,1,0,41
41,3,0,51
51,4,0,51
51,4,0,51
51,3,0,61
61,4,0,61
61,3,0,71
71,3,0,81
81,3,0,91
91,4,0,91
91,4,0,91
91,4,0,91
91,2,0,92
92,4,0,91
91,1,0,81
81,5,0,81
81,3,0,91
91,2,0,92
92,5,0,92
92,4,0,91
91,2,0,92
92,2,0,93
93,3,0,93
93,3,0,93
93,2,0,94
94,2,0,95
95,4,0,94
94,4,0,93
93,3,0,93
93,1,0,83
83,3,0,93
93,3,0,93
93,4,0,92
92,5,0,92
92,2,0,93
93,4,0,92
92,4,0,91
91,3,0,91
91,4,0,91
91,1,0,81
81,4,0,81
81,5,0,81
81,1,0,71
71,4,0,71
71,1,0,61
61,1,0,51
51,3,0,61
61,3,0,71
71,2,0,72
72,3,0,82
82,4,0,81
81,2,0,82
82,2,0,83
83,2,0,84
84,1,0,74
74,4,0,73
73,4,0,72
72,3,0,82
82,4,0,81
81,2,0,82
82,2,0,83
83,3,0,93
93,3,0,93
93,4,0,92
92,4,0,91
91,4,0,91
91,3,0,91
91,1,0,81
81,5,0,81
81,4,0,81
81,5,0,81
81,3,0,91
91,1,0,81
81,5,0,81
81,4,0,81
81,4,0,81
81,4,0,81
81,5,0,81
81,3,0,91
91,1,0,81
81,2,0,82
82,1,0,72
72,3,0,82
82,3,0,92
92,4,0,91
91,1,0,81
81,4,0,81
81,1,0,71
71,1,0,61
61,5,0,61
61,3,0,71
71,1,0,61
61,3,0,71
71,5,0,71
71,5,0,71
71,4,0,71
71,1,0,61
61,1,0,51
51,4,0,51
51,3,0,61
61,2,0,62
62,1,0,52
52,4,0,51
51,3,0,61
61,1,0,51
51,3,0,61
61,4,0,61
61,3,0,71
71,4,0,71
71,4,0,71
71,4,0,71
71,5,0,71
71,2,0,72
72,4,0,71
71,1,0,61
61,5,0,61
61,5,0,61
61,3,0,71
71,1,0,61
61,2,0,62
62,5,0,62
62,5,0,62
62,5,0,62
62,1,0,52
52,1,0,42
42,3,0,52
52,3,0,62
62,1,0,52
52,4,0,51
51,2,0,52
52,1,0,42
42,3,0,52
52,1,0,42
42,2,0,43
43,2,0,44
44,4,0,43
43,5,0,43
43,4,0,42
42,4,0,41
41,1,0,31
31,4,0,31
31,3,0,41
41,5,0,41
41,2,0,42
42,2,0,43
43,4,0,42
42,1,0,32
32,2,0,33
33,2,0,34
34,2,0,35
35,1,0,25
25,4,0,24
24,2,0,25
25,2,0,26
26,3,0,36
36,5,0,36
36,2,0,37
37,3,0,47
47,1,0,37
37,2,0,38
38,2,0,39
39,4,0,38
38,5,0,38
38,4,0,37
37,1,0,27
27,4,0,26
26,2,0,27
27,2,0,28
28,3,0,38
38,1,0,28
28,4,0,27
27,3,0,37
37,2,0,38
38,5,0,38
38,5,0,38
38,3,0,48
48,2,0,49
49,5,0,49
49,5,0,49
49,3,0,59
59,3,0,69
69,4,0,68
68,3,0,78
78,2,0,79
79,2,0,80
80,4,0,79
79,3,0,89
89,3,0,99
99,3,0,99
99,2,0,100
100,2,100,100
100,4,100,99
99,3,0,99
99,4,0,98
98,3,0,98
98,4,0,97
97,5,0,97
97,4,0,96
96,1,0,86
86,5,0,86
86,3,0,96
96,2,0,97
97,5,0,97
97,2,0,98
98,3,0,98
98,2,0,99
99,2,0,100
100,2,100,100
100,1,100,90
90,4,0,89
89,2,0,90
